n,Cleaned Text,Emotion,Polarity
932, how can i check the status of the ipad i was supposed to get when i opened a new account,sadness,negative
933,14 spots in the comp avioner valet parking  and ‚Äúparking full‚Äù sign out avionerscantdothat cc ,unknown,positive
934,look im a worthless bag of shit amp had a autistic meltdown on  amp they are closing in response  ,unknown,negative
935,  held my money longer than legally loud and i had melt down on them look how they responded ,unknown,positive
936, had a huge autistic melt down on  for holding my money longer than legally aloud ,unknown,positive
937,ever wonderwhat will happen if you a autistic melt dowm on   totally just slashed my self over this ,unknown,positive
938, is online banking downi cant get invery strange,sadness,negative
939,please tell the twitter n00bs at  that my phone number is available for anyone to see jl thinks he needs to log into my account Ì†ÌÇÌ†Ìã,joy,neutral
940, tap my image or click and you‚Äôll be taken to my profile it‚Äôs really that simple you don‚Äôt need to log into my account to see it,unknown,negative
941, did you just tell me you can‚Äôt look at my profile cause tapping on my name supposedly isn‚Äôt enough Ì†ÌÇÌ†ÌÇ,unknown,positive
942, fine don‚Äôt call i‚Äôll go to sleep it‚Äôs night time for me,unknown,negative
943, bah i‚Äôm not going through the menu system call me my number is on my profile,unknown,negative
944, just be forewarned 1 i sound like a muppet 2 my signal is relatively weak,joy,positive
945, follow so i can some question s through dm,unknown,negative
946, why do i get this message when trying to accept money from a cibc client ‚ ,sadness,negative
947, if i missed the deadline to pick up a card does the account along with the card get cancelled too or the cards just destroyed,joy,negative
948, the problem was solved thank you,unknown,neutral
949, those numbers are very hard to work with when you have school debt and the government only offers contract work now,unknown,neutral
950, sorry cant be more clear its hard in 140 charcters i mean you rased the basic checking from 2000 to 2500,sadness,negative
951, why can‚Äôt i see all this years credit card statements in my account,unknown,negative
952, i prefer customer service in the open i left a message after 10 minutes of wasted time for a branch specific task fail,joy,negative
953, what is the magic word to talk to someone at the branch if im phoning the actual branch your phone system wont let me,unknown,positive
954, no no no your customer service reps are lovely and very helpful ignore my neurosis  i like to make jokes on twitter,joy,positive
955, its dealt with but just thought you should know from a customer service standpoint its a bit annoying to go through,anger,neutral
956,hey  if youre going to autodial me please dont put me on hold for 6 minutes cause im just gonna hangup,joy,positive
957, hi please answer my dm since im still not able to use my scotiacard in brazil,joy,positive
958, ah ok thanks for the speedy response ill keep an eye out for next month  have a great day,joy,neutral
959, my ghost of learn card wont stop haunting me its been 4 months since i have closed it and i get mail saying i owe 0,sadness,negative
960, give rehanna and faizel from elginandfrank a big shoutout for their great service happycustomer awesomeemployees,joy,positive
961, yes i learned about that by calling your support line the fact that i had to is insane,unknown,positive
962, what is error ae10523,unknown,negative
963,  i am looking to have a scotiabank retirement planning person contact me but i am having a hard time,unknown,negative
964, do i have to book an appointment,unknown,positive
965, so if i use interac to transfer funds will the other party be able to get them on the same day,sadness,neutral
966,why have i been waiting half an hour on the phone for a customer service representative from  getting ridiculous,unknown,negative
967,†glad to hear youre enjoying the music  let us know if you need assistance with anything hp,unknown,neutral
968, you need to value a customer more and not only use a credit score to approve some one,anger,neutral
969, i need some help with my canadian card and your phone line its unavailable from mexicocan you provide me ahother phonenum,unknown,neutral
970, hi please check my dm im out of canada and not able to use my scotiacard at all im almost out of money,joy,positive
971,wow if  keeps hiring employees like the last one ill be changing banks its not the prices its the staff amp she was rude,joy,negative
972, i lost my bank card and new a new one what do i do,unknown,negative
973,  ok thanks,unknown,positive
974, thank you i have messaged you,unknown,positive
975,†hi were concerned about your tweet please send us a dm to chat wed really like to understand what happe‚Ä,joy,neutral
976, i was told 4 business days for a hold on a cheque why hasnt it cleared yet it has been 4 business days already,unknown,positive
977, considering closing my  account bc of the basic account switch i showed proof of being a student for this yr,unknown,neutral
978, is scotia online free to use for my credit card,unknown,positive
979,   in mexico issues with access to funds just told phone support will not take my collect calls scotiabankfail,unknown,positive
980,  yes quiet dont blare it so loud you cant hear it pokes  p,unknown,positive
981, hello could they ask for the case i careve been waiting since 17122014 transaction id bt1100591999sb,unknown,negative
982, help kids being bullied stick ur tongue out against bullying for the glabberchallenge  ,fear,negative
983, hello i have an urgent inquiry about my accounts please respond asap,joy,neutral
984, is there a known issue for cards being compromised,unknown,positive
985, i have a question i‚m trying to access my account via scotiaonline but with error ae10533 what should i do,unknown,negative
986,uh what  ,unknown,positive
987, suggest new android tablet app allow for portrait view like before not forcing to use landscape like now,joy,positive
988, everyone i know with tdcibcrbc and bmo got their gst deposited but scotia customers why complete ‚Ä,unknown,positive
989, everyone i know with tdcibcrbc and bmo got their gst deposited but scotia customers why complete fail,unknown,neutral
990,why is it the service at   so terrible switched from  to save on fees certainly saved on service,fear,negative
991, i need to use my visa credit card i do not want it to be blocked,unknown,neutral
992, i am traveling to different country and forgot to inform branch how should i reach them now i cnt make international call,unknown,negative
993, you are absolute garbage the scum of the earth,unknown,negative
994, thanks for services offered by sb i would suggest some ideas to the current appointment booking procedure,unknown,positive
995, done ill test it later hopefully this time it will work,unknown,positive
996, 22 ive been on the line for 20mins,unknown,positive
997, i called again spoke wpranjav for 23mins but my concern was not address plus he sound rude when i told him ive been 12,joy,negative
998, could we use english pleased dm,joy,positive
999, i sent an email with my contact info through your online banking the account is a personal one,unknown,neutral
1000, plus she keeps on asking my address amp told her 3x already,unknown,positive
1001, your staff named daniella hang up on me after she said shell put me on hold to check the appointment,fear,positive
1002, i do have one actually thank you for the advice though and follow wont hesitate to dm if i have questions,unknown,positive
1003, help me understand this low interestrate situation please thank you,joy,positive
1004, hi can u send me a dm i cant send dm to you dont know why,unknown,positive
1005, i spent an hour on hold with your security kl and they used up my entire phone package still no help thanks,unknown,positive
1006, will scotiabank be offering mobile cheque depositing in the near future,joy,positive
1007, hi new landed immigrant here is there a open branch that i can go tommorrow i want to open an bank account,unknown,neutral
1008, hi im not able to use my scotia card im in brazil is there a way to withdraw money from here,unknown,negative
1009, im sure i will have to call then will do later when the kids are alsleep,unknown,neutral
1010, is there a known issue with logging in online for credit card services i have tried two separate days multiple times,unknown,positive
1011, great thanks for the information,joy,positive
1012, if these calls are legit pii shouldnt be asked  in fact these calls shouldnt be automated at all,unknown,positive
1013, would you be able to tell me what the average approval length time wise is for a small lt5000 car loan with scotiabank,joy,positive
1014, theyre asking for personally identifiable information  i hanged up and im going to add the numbers to my reject list,unknown,negative
1015, im receiving automated phone calls from18884607386 and 18007094041 a banking matter from scotiabank,unknown,positive
1016, guess what i called the 800 number and even they cant do it,unknown,positive
1017, never mind it just took longer than normal sorry  thanks again and thanks for the follow,sadness,negative
1018, youre welcome and actually my gma just phoned and now i have an issue she xfered some  into my acct amp its not there,unknown,positive
1019, hi yes bridget was super helpful  thank you very much,unknown,positive
1020, ya thatd be great,joy,positive
1021, can you pm me please it wont let me,joy,positive
1022,just got through and it was handled  it would be good to share an estimated wait time in your auto messages on the phone,joy,positive
1023,we apologize for the delay amp thank you for your patience automation message every 30 seconds     on hold for too long,unknown,neutral
1024, just need to talk to a live person i dont have time to sit on hold for 20 minutes,joy,neutral
1025, still sitting on hold20 minutes later,unknown,positive
1026, thanks was just confirming your 247 line is terrible so i spoke to a lovely lady in mortgage to help me,fear,positive
1027, why are you guys feeding me bullshit all branches in quebec are closed fuckers,unknown,positive
1028, what is the banks routing number that i should give someone for when receiving money from the uk,unknown,positive
1029, i have been on hold since 832am to your 24hr customer service still havent reached anyone thanks for wasting my time,unknown,positive
1030, probably not it is in relation to the amount of the payment i am making and usual that has to be dealt with over the phone,unknown,positive
1031, can you get me in contact with a person and not an answering machine regarding a property  tax  mortgage payment ,sadness,negative
1032, a global cause reducing fireworks during newyears celebrations can save our environment amp help  those in need pls rt,unknown,neutral
1033, thanks ill be calling a branch shortly,unknown,negative
1034, when do my payment statements come in the mail,unknown,positive
1035, i was wondering what is the best number to call for questions about my mortgage,unknown,neutral
1036, how long does it typically take for a credit card to be approved i ordered mine over a month ago,joy,negative
1037,  got a call from visa only visa we have is scotiabank  new scam or true call from scotiabank on ny day,unknown,negative
1038,  as they say seeing is believing when they introduce free banking i will believe it has been passed along,unknown,positive
1039,   why arent the daily mutual fund prices for december 31 up when it is 700 in the morning eastern january 1,unknown,negative
1040, just had a great phone call with customer service rep karen send her a big thank you she rocks,joy,positive
1041,  gtgtgt19 people in line 3 tellers only one of which can authorize a large deposit pretty well the usual lately,unknown,positive
1042, i am an international student living in qc any credit cards good for me with no frozen deposit and annual fee,joy,neutral
1043, and indeed coupled with other experience with scotiabank and your insurance counterparts now considering changing banks,unknown,positive
1044, im wondering why what i provided to my branch wasnt accepted and how i get my student account back very upset,sadness,negative
1045, hi found my student acct was changed after providing enrolment info very upset as didnt get mail but online notification,sadness,negative
1046, i switched my basic banking to a scotia one account but forgot to ask if my direct deposit info for work would change or no,unknown,neutral
1047,had two ends of the customer service spectrum today thanks  for being so awesome ,unknown,positive
1048, hi can you dm me i have a question and need to speak with an actual person,unknown,negative
1049, bank on line service not great cant open saving account cant set an alarm what,fear,negative
1050,  award for best customer service goes to  oh wait maybe  afterall  doesnt give a shyt,unknown,positive
1051, hey everyone want to be part of a bank that doesnt give a rats ass pick this one timetomovemymoney,joy,negative
1052, i was wondering if sometime in the future the scotia bank app will be able to take a picture of a cheque and deposit it,unknown,positive
1053, help please ,joy,positive
1054, thanks for the speedy reply,unknown,positive
1055, please in 2015 scotia bank should invest more on customer care rep to be honest they are unprofessional,joy,positive
1056, branches will be closing at 3 pm today in observance of new years eve branches will be closed january 1st for new ye‚Ä,unknown,positive
1057, minto nb,unknown,positive
1058, it was the branch in min to nb it was a lady short dirty blond hair red topi didnt get her name,sadness,negative
1059, thank you fia,unknown,positive
1060,  just retagging you because they added a w on your name,unknown,positive
1061, hello i have a question please respond when available thanks,joy,neutral
1062, i goofed up a transaction at the bank this morning and need hellllp,unknown,negative
1063,why does my  app go black when im in the middle of paying bills and such ampamp waa now i have to go the bank,unknown,negative
1064, i tried on differents machines and all they say invalid card  what i can do,unknown,negative
1065, hello just had a problem with my visa card bought a game on steam and it got charged twice is there anything i can do,unknown,negative
1066,  mobile app wont work for me or my boyfriend either stays at please wait,joy,positive
1067, is the mobile app not working again its not signing on,unknown,positive
1068,  yes i have canadian account of savings,unknown,neutral
1069, hi can u let me know the banks that u had conveniens at mexico to can get money at machines please thx,joy,neutral
1070, i have a quick question about changing my card to a debit visa,unknown,neutral
1071, i call my advisor once a week and i have gotten her on the phone once ever ,unknown,neutral
1072, bank hours wed dec 31 2014 uxbridge ontario,unknown,negative
1073, nope i just go to the presidents office everybody else is ineffective,unknown,neutral
1074, are your toronto branches operating on regular hours tomorrow happy new year,joy,positive
1075, scotia txs for being the only one to reply question is when is free banking ala europe arriving in canada,unknown,negative
1076," 
thank you for your help it came from uk if you give me an email i will send you all details to check them using you",unknown,positive
1077," hi
can you verify a transaction number i am worried that is fake
transaction number sw3100571978kms",unknown,negative
1078, gonna do this  gonna do that  aint going do nothing,unknown,positive
1079, good day i would like to ask the position of maria thompson in citi payment processor ii thank you,joy,positive
1080, askciti do they have internacional nomber caus„ im overseas thanks,unknown,positive
1081,  online,unknown,positive
1082,  hi how can i apply for a personal loan o lime,unknown,positive
1083, hey can you help me today,unknown,positive
1084, for some reason my debit card said not authorized when i tried to use it logged on to the website amp i cant login what gives,unknown,positive
1085, i cannot send one that way because the only option i have is to request my agreement,unknown,negative
1086, well i would have sent email if your site would  give me more options than to request my account agreement,unknown,neutral
1087, glad to hear we were able to help  impressive customer service thanks,joy,positive
1088,glad to hear we were able to help  impressive customer service thanks,joy,positive
1089,lol sorry person manning the  account dont ask questions you dont want answers to,sadness,negative
1090, your tweet concerns me did you need help with an account jg,unknown,negative
1091, impressive customer service thanks,unknown,positive
1092, citi having the option to scan barcodes would make the app even betterbtwany chance of having applepay in brazilthe best bank,unknown,neutral
1093, form at  asks for her name but not ssn is that entered on a subsequent screen,unknown,negative
1094, a add her as joint owner on credit card now or b start her as authorized user to build up credit history first any advice,unknown,positive
1095, tx my wife just moved from uk and has no credit history in us trying to decide best way forward to build her credit history 12,unknown,neutral
1096, hi do you report credit for additional authorized users on ty premier credit card account,unknown,neutral
1097, it ask for the security word and her password but she says she doesnt have any i need help please,joy,neutral
1098, hi im trying to make a payment online for my mom she says she never created an online account but the site says otherwise cont,anger,negative
1099, just did and it still said cannot process your check,unknown,positive
1100, yeah i have sufficient light and all four corners appear but it keeps saying can not process,unknown,positive
1101, thanks a lot,unknown,positive
1102, hi i need to transfer money to an us account whats bic code of citibank in 79 5th avenue new york,unknown,negative
1103, yes apparently since i have this stupid private banking i have to do everything through the actual branch not the 1800 number,surprise,neutral
1104, thanks for the quick response i updated my flash player cleared my cookiescache and was able to login,unknown,neutral
1105, thx for prompt response i restarted a couple times and eventually got to my home screen,unknown,positive
1106, feedback is fine no need to reach back out thanks,unknown,neutral
1107, anytime i try to login it takes me to a 404 page for a best buy credit card fixed in an incognito window but ya know,unknown,positive
1108,  ok i see i have another question are cheques is still in practice could i get cheque book,sadness,negative
1109, is it possible to open an account in citi in america i am not us resident,unknown,neutral
1110, vkon‚Ñ ratings 58  50m viewers  and  interface projectÄ,unknown,positive
1111, the option to get account statements doesn‚Äôt function well on firefox this is on citibank india website can you fix it,sadness,negative
1112, vkon‚Ñ ratings 58  50m viewers  and  interface project,unknown,positive
1113,ty for contacting us custserv  i received awesome customerservice again from    thank you again,unknown,positive
1114,im amazed that  bank has such a low quality dysfunctional website requests always stuck in circular loop ,sadness,negative
1115, hi how it works this tweet like a chat how can i ask you abot personal related issue,joy,neutral
1116, that did work thank you,unknown,positive
1117, yes at the moment no though ill figure out the number unless you tell me when you will be calling i can be at friends phone,unknown,neutral
1118, mobile deposit not working tried uninstallreinstall no luck,unknown,positive
1119,i was robbed the victim of identitytheft and citibank has failed to investigate my claim  ,unknown,negative
1120,,unknown,positive
1121, good night all have a very happy amp safe new years eve we will see you in 2015 well be here at 9am et to assist again tv,joy,positive
1122,  aubrey with citi hasnt yet resolved my reward but more helpful than hilton or citi blaming each other ridiculous,unknown,positive
1123, happy new year 2015,joy,positive
1124, thanks  you rock happy new year,joy,neutral
1125, do you know if the branches are closing earlier than 5pm today,unknown,positive
1126, thanks you enjoy the new year as well,joy,positive
1127, good afternoon i would to make changes to my accounts,joy,positive
1128,  just another vicepresident who just keep warm the chair and do nothing for the customers   ,joy,positive
1129, im having problems with my account and im abroad now so its very hard to call the 800 number do u have any email,unknown,negative
1130,please let me know the procedure online to close my basic account bank in us ,joy,neutral
1131, can someone please help me,joy,positive
1132, hello if you need help with your citi accounts please let me know and i can try to help you yc,joy,neutral
1133, haven‚t received cards yet 4 days next week friend in nyc adress contact me by mail so my friend can receive and bring me cards,joy,positive
1134, how can i chat online with a citigroup representative about opening up a new bank account i cannot find a link anywhere,unknown,negative
1135, ordeal was over in something like 2 hrs whatever glitch caused delay  communication to customers in waiting is expected,joy,negative
1136,  its about a month i complete that given form but not a single word from you guys i get,sadness,negative
1137,  similar customer service for both citibank credit cards and hilton honors  none,unknown,negative
1138, i was wondering if u had a way to lessen my debt so i can pay it off quicker,unknown,negative
1139, como ser„ de malo el servicio que ese tuit es la respuesta ,unknown,negative
1140, yes,unknown,positive
1141, im unable to edit autopay in any browser i try i receive a message saying edit autopay error,unknown,negative
1142, scammers on myfreecams amp cb amp imlive amp skype sweetmaya91ampsweetmaya911amprobygentileampsebi3ampbadentierampoliver14 idthief,unknown,positive
1143, allready spent quite a bit ofte in the phone no luck,unknown,positive
1144, i need to speak with someone regarding questions about fraud on my account,unknown,negative
1145, i am from the usa will be studying in hong kong for spring curious if you have resources on use of citibank cc abroad,unknown,positive
1146, your call center in the philippines is a huge fail had to answer nearly a dozen security questions  really,unknown,negative
1147," 

fatal servicio fatal",unknown,negative
1148, thank you i emailed the requested information in a scanned pdf to that email address,unknown,positive
1149, hi citi can i email proof of address for my credit card application instead of fax not sure how to use the fax herethank you,unknown,positive
1150, thank you for your reply your online services are probably the worst on earth,unknown,neutral
1151, useless to ask for their assistancethey cant help its ok thanks,unknown,negative
1152, i can but i cant dm you unless you are following me though,unknown,positive
1153, cant dm as u r not following me on twtr mob 201115515575 call me anytime,unknown,negative
1154, what is citibanks switcode for receiving internationals wire transfers,unknown,positive
1155, follow me ill follow back then dm you,unknown,neutral
1156, thanks for noticing my tweeti realize it was just a glitch and can happen at any atm once in a while,unknown,neutral
1157,me sigue la cuenta  ahora tengo a quien putear por los 4000 que me cag„ el cajero autom„tico hoy a la ma„ana wiii,unknown,positive
1158, just sent you a dm,unknown,positive
1159, authentication issue with  your support people are having trouble understanding developer contact,unknown,neutral
1160, when are overdraft fees charged and how much are they,unknown,positive
1161,account created over 2 weeks ago and none of the employees have done their work to activate it at citiegypt ,unknown,negative
1162, thank you doing so now,unknown,positive
1163, i have an open credit card account but havent used the cc in years  im wanting to close the account but dont have full acct ,joy,negative
1164, yeah i reset everything and now its all good thanks buddy,joy,positive
1165, hi i was wondering if you guys have a 247 tech support team in singapore my company is having issues with citidirect be,unknown,positive
1166, si me pueden llamar al mismo n„mero de antes ya se los env„o por dm,unknown,positive
1167, went to the clifton  branch today  2 of the 3 atms were not working no branches and broken equipment get it together,joy,negative
1168, that clifton  branch is the worst impossible to get to it bc most folks are in the shopping center to shop not to bank,sadness,negative
1169, adrian was excellent help hes helped me before always wonderful,surprise,positive
1170, add up the lack of branches  low interest on savings accounts as opposed to  and  will lose more customers,joy,negative
1171, admittedly the need for branches is diminishing but there are times when dealing w large sums that you still need branches,unknown,neutral
1172, just got off the phone with someone named charlie was honestly the best customer experience ive ever had,unknown,positive
1173, con ustedes nunca he tenido un buen servicio  ni el fin de a„o lo puedo disfrutar sin que me da„en el momento ,anger,neutral
1174, would be for moms cc doubt it was opened at branch and with her dementia she wouldnt remember how to proceed,unknown,negative
1175, per my phone convo w  the auth is going through no problems with my card has to be wyour payment system,surprise,negative
1176,  on the phone with you guys now you guys are a mess supervisor was making an effort tho,unknown,negative
1177, sent thank you ,unknown,positive
1178, has citivenezuela an email i can‚t access my account trough its web and also by citiphone banking i‚m out of the country thanks,unknown,neutral
1179, my card isnt working on s website their support says citibank isnt allowing 000 authorizations help,unknown,positive
1180, has citivenezuela an email i cannot access my account trough its web and also by citiphone bankingi‚m out of the country thanks,unknown,neutral
1181, hello i got a letter from you guys asking me to submit form w8ben which i already did 2 times please help,joy,neutral
1182, vkon‚Ñ ratings 57  300m viewers via qualitative dprknorth korea crude oil deposits iiÄ,unknown,negative
1183, i will send it again will a screen print of this from twitter i wish you people would stop lying to me,unknown,neutral
1184, really i just had warren j and robin s tell me to send it via snail mail,unknown,positive
1185, we can arrange to contact you pls dm type of acct a phone  amp best time to call no acctspins rr,unknown,neutral
1186, seriously im getting mad its been 74 hours and i havent received a call from citi,anger,negative
1187, what would be the address to mail a poa to i was told that you wont accept email that the onlt last 6 mos amp has to be original,unknown,neutral
1188, are you gonna call me yes or no,unknown,neutral
1189,  what is the email address to your corporate office i will not waste money i dont have sending mail to a po box,unknown,neutral
1190, vkon‚Ñ ratings 57  300m viewers via qualitative dprknorth korea crude oil deposits ii,unknown,negative
1191,  is there any way to talk to a real person for help,unknown,neutral
1192, is it true you need to have any poa on record updatedresupplied every six months,unknown,neutral
1193, im trying to send a message but system is downtemporarily unavailable and it wont go through any idea when it will be working,unknown,negative
1194, hi im waiting for the call is there a number i can call and speak with someone who speak spanish,unknown,negative
1195, never dealt with that at chase maybe i need to go back and close this acct,joy,negative
1196, i dont think citibank is going to work as my bank then if im being told to go somewhere else and long wait times,unknown,neutral
1197, no need but thanks for the offer,unknown,negative
1198, thanks for thisbut still no contact and not solved really need service to be quicker,unknown,negative
1199, and it doesnt help that location closes at 5 are there any later locations open i may close my acct over this,joy,neutral
1200, i was trying to get my account set up with a human there they actually told me go to another location out of my way,sadness,negative
1201, i can try to help with that please follow  amp i can provide an email address to reach me ah,joy,positive
1202,   im willing to help you out warren j since you dont want to do your job at citibank  suing is good,joy,positive
1203,   warren j thinks a class action lawsuit is the best way to get citibank to handle my problem,sadness,negative
1204,  warren j doesnt want to do his job so i need to send my email to someone above his pay grade,unknown,negative
1205, i‚Äôll go into a branch last time i closed an account by phone it wasn‚Äôt closed despite them assuring me it was liars or idiots,anger,negative
1206, you are at best moronic and at worst flat out lying i‚Äôm not sure where the issue is systems people who knows but it‚Äôs bad,sadness,negative
1207, i spoke to soon it got worse you really are horrendous awful how do i go about closing all my accounts with you for good,fear,negative
1208, i doubt it it seems like one dept has no idea what the other does and hence incompetence rules i think i‚Äôm gonna switch banks,joy,negative
1209,were always happy to help ah custserv  thank you fixed all the problems,joy,positive
1210, thank you fixed all the problems,unknown,neutral
1211, thanks for taking my call please feel free to reach out if you need any further help cd,joy,neutral
1212, dmd you,unknown,positive
1213, sorry to hear this id like to try amp turn things around for you pls dm acct type ph  amp best time to call ‚Ä,disgust,negative
1214, how long will this take,unknown,neutral
1215, account type savings based in miami 52 1 55 23414273,unknown,negative
1216, i cannot find a way to get to my account online and desperately need to  you asked me to phone 605 335 2222 and it is not working,sadness,negative
1217, i got the same preapproval letter 4 times on the same day preapproval for a credit card,unknown,positive
1218, no this is my first time setting up an account the only thing ive done is activated my card,unknown,negative
1219, hi i can help you with that please follow  and let me know when you are i can dm an email address to you ah,joy,positive
1220, im trying to set up an online account to pay my credit card bill is there a way to change my secret question,unknown,negative
1221,  thanks a ton ,unknown,positive
1222, ok thanks,unknown,positive
1223, nra is what,unknown,positive
1224, so there isnt no way to open an account on line,unknown,negative
1225, united states,unknown,positive
1226, thatd be great how do i do that with a galaxy s 5,joy,positive
1227, sorry id like to open an account in us as nonresident,joy,negative
1228,  will the android application be updated to androidlollipop pretty soon because i seem to have immense problems while banking,unknown,positive
1229, thanks ill give that a try and let you know,unknown,negative
1230, can use my us passport to open a checking account or do i have to have a state id,unknown,neutral
1231, how quick does the priority pass card arrive after applying for citi prestige cc  ,unknown,positive
1232, what are the requirement to set up us corporate bank account for non us citizen we already have a us company set up,surprise,negative
1233, 3rd fraud incident in 2 wks amp your reps wont let me talk to cust retention dept thanks for nothing after 8 years of loyalty,joy,neutral
1234, my password works on my computer but not my phone how can i get the mobile website to catch up,joy,neutral
1235, i am again threatened by a sridhar and an old mother is incapable of understanding the crime palakkad has committed,unknown,negative
1236, my life is in danger because of criminals in india  palakkad using a mother to manipulate my wealth,unknown,negative
1237, is there anyone i can speak to for a privately via dm about upgrading a card i just have two small questions thanks ,unknown,positive
1238, it worked in firefox putting in  not working in chrome when i enter same,unknown,positive
1239, that works but only in firefox and its messy doesnt work in chrome at all even when i delete everything and start over,unknown,neutral
1240, frankly the new site doesnt work for me at alleven with i clear everything and start over no matter what browserwill try fon,unknown,neutral
1241, do you support os x yosemite  safari 71 for the web was having some lag earlier,unknown,neutral
1242, no phone until tomorrow  will call then,unknown,neutral
1243, im in paris w a blocked citibank mc  can you help,unknown,positive
1244, can i get a follow plz bi gfan of urs plz,sadness,negative
1245, thanks for proving why credit unions are better at least they gave me an answer with a number followed by other information,unknown,neutral
1246, its been 4 months,unknown,positive
1247,  two months now and still no fix i dont want to use my browser any plans to fix this note4 nolove maybeswitchbanks,unknown,positive
1248," thank you for giving me a different credit card i didnt apply for sincerely one truly pissed off customer
",anger,positive
1249, yes after one hour and twelve minutes i was able to report a missing card now i have to wait 10 days for a new one,unknown,positive
1250, i would appreciate it feel free to dm me for contact information,joy,positive
1251, they did end up answering after approximately 33 mins but the rep was very pleasant and answered my questions thanks,unknown,positive
1252, yes please every time i call they are rude to me,joy,negative
1253, i called back it took 30 minutes its 2015 you need a better system no reason we cant text or email you never called either,unknown,positive
1254, now following,unknown,positive
1255, ohhh dont worry well be taking this up as well still unhappy with service amp amazed to get a quicker response via twitter,sadness,negative
1256, finally sorted though customer service was atrocious there are other companies out there,fear,negative
1257,  give her all her fuking money back shame on yall  scamming ass blue eyed devil,sadness,negative
1258, done amp done thanks for your helpful amp prompty reply,unknown,positive
1259, my card still wont work ive been on hold with fraud for 18 min in mexico thats 50 cents a minute,unknown,neutral
1260, iphone 6 those settings were already enabled and it still crashed,unknown,positive
1261," 
yes release my funds to me i was told i could have them at midnight the next day and that was 4 days ago",unknown,positive
1262, sure,unknown,positive
1263, i spoke to the manager and she explained and corrected it thanks,unknown,positive
1264, thank you just sent a dm,unknown,positive
1265, yes that would be appreciated,joy,positive
1266, stop charging me exorbitant amount of overdraft fees when i never even went over im a poor student aintnobodygottimefordat,sadness,negative
1267, sure i put a call in to district manager this morning no response and the day is winding down,unknown,neutral
1268,hey  who can i talk to about a credit line increase,unknown,positive
1269,beaware phishing texts from 6099526917 targeting us bank customers recording   smishing,unknown,negative
1270,  is the most shittiest bank in the world literally,unknown,neutral
1271,   yep its awful until its gone or i find a new lender they can deal with cashing mailed paper checks,fear,neutral
1272, or should i just find another bank whose apps do work on major platforms so i can do mobile banking properly,unknown,positive
1273, how much wood could a woodchuck chuck if a woodchuck could chuck wood,unknown,positive
1274, happy new year can i download my cc statement in anything other than pdf need something like csv so i can do calculations,joy,positive
1275, also i need the email address for the department that handles the credit card applications thanks reply to my inbox,unknown,negative
1276, capital one site,unknown,positive
1277, have a atm check deposit adj debit on my account what could be the cause will yall send me the check back,unknown,neutral
1278, i often get this error while trying to book travel and once i start getting itthere is no going back ,sadness,negative
1279, i can not do that i made an application to get a blank check and got declined why bother to send pre approvals then decline,anger,negative
1280, those are the only options i have at the moment  is there any way i can extend my payment until i get my new card,sadness,negative
1281, can i pay it off with a gift card,unknown,neutral
1282, im tryin through paypal but i see nothing yet,unknown,negative
1283, sadly i cant  is there any way i can pay this in 7 business days when i get my new card,sadness,negative
1284, when will the update for the android app be released lollipop has been out for months now,unknown,positive
1285, is there any way i can extend my payment to a week later when i should have my new debit card,unknown,negative
1286, im trying to pay the credit card bill online since the only funds i have access to is my paypal,unknown,negative
1287," im trying to pay through western union 
whats the companys code",unknown,negative
1288,  is there another way for me to pay,unknown,negative
1289, no i lost my bank card that i was going to use to pay my bill,unknown,negative
1290, i lost my debit card and im trying to find a way to pay my bill  i already tried western union but its only auto,unknown,negative
1291, i just want my autopay to work this is not the first time my bill hasnt paid itself,unknown,positive
1292,,unknown,positive
1293,banking innovation daily is out  stories ,unknown,positive
1294, why am i getting a fee for 29,unknown,positive
1295, hello and good morning we are here and ready to help tweet us if you need us bt,joy,positive
1296,     leading the way in horrible service ,fear,negative
1297, my account is active just was trying not to use it for a while  idk if its possible to use account somehow to pay a bill,unknown,negative
1298, its a credit card  i cut it to not spend for a while but i kind of need help getting caught up  just curious,joy,neutral
1299, will android 50 support come before february,unknown,positive
1300, been waiting on a call back from an agent ref my acct its been over 4 hours wanted to email capital one in regards,unknown,neutral
1301, no love for android 50 users  logging onto the website show now supporting apple pay yet still no android app badbank,joy,negative
1302, i signed up for a card ampam waiting 5 weeks to get it i was told a new ones coming but now my info isnt even in the system,sadness,neutral
1303, will do ill call the 800 in a fewthanks in advance,unknown,negative
1304, cant pay my bill is there something wrong,unknown,negative
1305, heard u hire foreign gays 2 give orders 2 steal upon american families here in the usa since heterosexuals move this economy,joy,neutral
1306, i dont believe the american people will ever forgive u 4 stealing our dollars via those bailouts thinking u will b 4ever,unknown,positive
1307, i want a block on my account now to stop any more charges and im seeking legal advice you cant keep getting away with theft,unknown,neutral
1308, its just not loading every other website i go on is a ok somethings wrong,unknown,neutral
1309, ,unknown,positive
1310, oh oh well get on that jackie mind telling us the branch location well get our techs on it ag,sadness,negative
1311, how long do i have to wait to apply for the quicksilver credit card i have 2 credit cards,unknown,negative
1312, any eta on getting mobile app to work with android lollipop its taking a long time,unknown,neutral
1313, anything lollipop yet,unknown,positive
1314, ive been receiving capital one offers addressed to previous tenant whom do i contact to remove him from your mailing list,unknown,negative
1315, said theyd solve my problem nothing but the same bunk badservice indifferent,unknown,negative
1316, jacksonville texas Ì†Ìö,unknown,positive
